2015-10-15 21:53:58,916 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | Thread-28
2015-10-15 21:53:58,920 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | Thread-28
2015-10-15 21:53:58,923 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | Thread-28
2015-10-15 21:53:58,925 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | Thread-28
2015-10-15 21:53:59,026 | WARN  | 3 threads could not be stopped | org.eclipse.jetty.util.thread.QueuedThreadPool | Thread-28
2015-10-15 21:53:59,046 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | Thread-28
2015-10-15 21:53:59,074 | INFO  | Connector vm://localhost stopped | org.apache.activemq.broker.TransportConnector | Thread-28
2015-10-15 21:53:59,096 | INFO  | PListStore:[/opt/apache-activemq-5.12/data/localhost/tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | Thread-28
2015-10-15 21:53:59,100 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-28
2015-10-15 21:53:59,103 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-28
2015-10-15 21:53:59,169 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | Thread-28
2015-10-15 21:53:59,621 | INFO  | Apache ActiveMQ 5.12-SNAPSHOT (localhost, ID:linux-icqi-53120-1444923731963-0:1) uptime 2 hours 11 minutes | org.apache.activemq.broker.BrokerService | Thread-28
2015-10-15 21:53:59,623 | INFO  | Apache ActiveMQ 5.12-SNAPSHOT (localhost, ID:linux-icqi-53120-1444923731963-0:1) is shutdown | org.apache.activemq.broker.BrokerService | Thread-28
2015-10-15 21:53:59,629 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@465c16: startup date [Thu Oct 15 19:42:08 MSK 2015]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | Thread-28
2015-10-15 21:53:59,690 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | Thread-28
2015-10-15 21:54:40,592 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@465c16: startup date [Thu Oct 15 21:54:40 MSK 2015]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2015-10-15 21:54:43,212 | INFO  | PListStore:[/home/administrator/workspace/ru.vm.labs.mq/apache-activemq-5.12/data/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2015-10-15 21:54:43,268 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/home/administrator/workspace/ru.vm.labs.mq/apache-activemq-5.12/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2015-10-15 21:54:43,774 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-10-15 21:54:43,905 | INFO  | Recovering from the journal @1:478137 | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-10-15 21:54:43,929 | INFO  | Recovery replayed 469 operations from the journal in 0.081 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-10-15 21:54:44,106 | INFO  | Apache ActiveMQ 5.12-SNAPSHOT (localhost, ID:linux-icqi-48091-1444931683961-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2015-10-15 21:54:44,221 | INFO  | Listening for connections at: tcp://linux-icqi:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-10-15 21:54:44,226 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
